X,Y,Z,formation
6512305.38,5690069.13,144.98,Hu
6512305.38,5690069.13,119.97999999999999,\N
6512305.38,5690069.13,144.38,orSi2
6512305.38,5690069.13,144.07999999999998,Pt
6512305.38,5690069.13,143.48,Sa5
6512305.38,5690069.13,139.38,Si3
6512305.38,5690069.13,138.07999999999998,Si3
6512305.38,5690069.13,136.57999999999998,Si2
6512305.38,5690069.13,133.67999999999998,Sa2
6512305.38,5690069.13,131.88,Sa3
6512305.38,5690069.13,129.98,Sa6
6512305.38,5690069.13,128.48,Sa6
6512305.38,5690069.13,125.67999999999999,Sa6
6512305.38,5690069.13,120.47999999999999,Sa6
6512305.38,5690069.13,142.38,Sa5
6512305.38,5690069.13,135.67999999999998,Si3
6512328.4,5690041.29,145.35,Hu
6512328.4,5690041.29,144.45,Cl1
6512328.4,5690041.29,120.35,\N
6512328.4,5690041.29,144.95,Pt
6512328.4,5690041.29,143.45,Si1
6512328.4,5690041.29,141.95,Sa5
6512328.4,5690041.29,140.54999999999998,Sa2
6512328.4,5690041.29,139.04999999999998,orSi2
6512328.4,5690041.29,137.54999999999998,Si2
6512328.4,5690041.29,136.65,Si2
6512328.4,5690041.29,133.65,Sa3
6512328.4,5690041.29,132.25,Sa3
6512328.4,5690041.29,127.64999999999999,Sa6
6512328.4,5690041.29,121.64999999999999,Sa6
6512328.4,5690041.29,123.44999999999999,Si4
6512328.4,5690041.29,120.75,Si3
6512328.4,5690041.29,141.45,Sa4b
6512328.4,5690041.29,139.75,Sa3
6512328.4,5690041.29,138.35,Si3
6512328.4,5690041.29,136.25,Si3
6512328.4,5690041.29,135.35,Si2
6512328.4,5690041.29,135.04999999999998,Si3
6512328.4,5690041.29,134.04999999999998,Si2
6512328.4,5690041.29,125.35,Sa6
6512322.01,5690094.19,145.23,Hu
6512322.01,5690094.19,144.73,Cl2
6512322.01,5690094.19,115.22999999999999,\N
6512322.01,5690094.19,144.42999999999998,Si2
6512322.01,5690094.19,144.13,Sa1b
6512322.01,5690094.19,143.63,Sa4b
6512322.01,5690094.19,142.32999999999998,Sa5
6512322.01,5690094.19,140.13,Sa6
6512322.01,5690094.19,138.92999999999998,Si3
6512322.01,5690094.19,137.42999999999998,Si2
6512322.01,5690094.19,135.53,Si1
6512322.01,5690094.19,134.13,Si3
6512322.01,5690094.19,133.32999999999998,Sa2
6512322.01,5690094.19,132.23,Sa3
6512322.01,5690094.19,128.82999999999998,Sa5
6512322.01,5690094.19,127.82999999999998,Sa6
6512322.01,5690094.19,123.32999999999998,Cl4
6512322.01,5690094.19,121.32999999999998,Pt
6512322.01,5690094.19,120.82999999999998,Sa6
6512322.01,5690094.19,120.32999999999998,Sa6
6512322.01,5690094.19,118.42999999999999,Si3
6512322.01,5690094.19,125.82999999999998,Sa5
6512361.87,5690061.55,144.85,Hu
6512361.87,5690061.55,144.45,Pt
6512361.87,5690061.55,143.15,Sa1b
6512361.87,5690061.55,142.75,Sa2
6512361.87,5690061.55,139.45,Si3
6512361.87,5690061.55,137.75,Si3
6512361.87,5690061.55,134.65,Si3
6512361.87,5690061.55,133.25,Sa3
6512361.87,5690061.55,132.15,Sa3
6512361.87,5690061.55,124.64999999999999,Gr3
6512361.87,5690061.55,120.75,Sa6
6512361.87,5690061.55,119.85,\N
6512361.87,5690061.55,141.65,Sa1b
6512361.87,5690061.55,140.04999999999998,Sa2
6512343.75,5690070.74,145.18,Hu
6512343.75,5690070.74,144.58,Pt
6512343.75,5690070.74,143.48000000000002,orSa1b
6512343.75,5690070.74,143.18,Sa2
6512343.75,5690070.74,139.88,Si3
6512343.75,5690070.74,136.68,Si2
6512343.75,5690070.74,134.78,Si3
6512343.75,5690070.74,133.58,Sa3
6512343.75,5690070.74,132.38,Sa3
6512343.75,5690070.74,126.58000000000001,Sa6
6512343.75,5690070.74,125.08000000000001,Sa6
6512343.75,5690070.74,122.58000000000001,Sa3
6512343.75,5690070.74,120.98,Sa3
6512343.75,5690070.74,120.18,\N
6512343.75,5690070.74,142.38,Sa1b
6512343.75,5690070.74,140.98000000000002,Sa2
6512343.75,5690070.74,136.18,Si3
6512343.75,5690070.74,132.08,Sa3
6512290.17,5690076.32,144.91,Hu
6512290.17,5690076.32,119.91,\N
6512290.17,5690076.32,144.71,Pt
6512290.17,5690076.32,144.10999999999999,Pt
6512290.17,5690076.32,142.71,Sa4b
6512290.17,5690076.32,142.41,Si1
6512290.17,5690076.32,139.01,Si2
6512290.17,5690076.32,135.21,Si3
6512290.17,5690076.32,133.51,Sa3
6512290.17,5690076.32,131.21,Sa3
6512290.17,5690076.32,128.01,Sa6
6512290.17,5690076.32,125.71,Sa6
6512290.17,5690076.32,122.11,Sa5
6512290.17,5690076.32,141.10999999999999,Si2
6512290.17,5690076.32,139.71,Sa4b
6512290.17,5690076.32,138.31,Si3
6512290.17,5690076.32,120.91,Sa6
6512333.44,5690087.13,120.34200000000001,\N
6512333.44,5690087.13,145.342,Hu
6512333.44,5690087.13,140.942,Sa5
6512333.44,5690087.13,130.042,Sa3
6512333.44,5690087.13,127.34200000000001,Sa3
6512333.44,5690087.13,126.44200000000001,Sa2
6512333.44,5690087.13,144.74200000000002,Pt
6512333.44,5690087.13,143.842,Sa1b
6512333.44,5690087.13,143.14200000000002,Sa4b
6512333.44,5690087.13,140.24200000000002,Sa2
6512333.44,5690087.13,139.64200000000002,Si3
6512333.44,5690087.13,137.842,Si3
6512333.44,5690087.13,136.842,Si2
6512333.44,5690087.13,136.14200000000002,Si2
6512333.44,5690087.13,134.842,Si3
6512333.44,5690087.13,132.942,Sa2
6512333.44,5690087.13,129.24200000000002,Sa2
6512333.44,5690087.13,125.54200000000002,Sa5
6512333.44,5690087.13,124.34200000000001,Sa6
6512333.44,5690087.13,123.54200000000002,Cl4
6512333.44,5690087.13,124.94200000000001,Sa6
6512323.55,5690063.99,119.96700000000001,\N
6512323.55,5690063.99,144.967,Hu
6512323.55,5690063.99,144.36700000000002,Pt
6512323.55,5690063.99,143.467,Sa1a
6512323.55,5690063.99,141.967,Sa1b
6512323.55,5690063.99,139.467,Si2
6512323.55,5690063.99,138.86700000000002,Si2
6512323.55,5690063.99,138.167,Si3
6512323.55,5690063.99,137.467,Si3
6512323.55,5690063.99,136.86700000000002,Si2
6512323.55,5690063.99,135.967,Si2
6512323.55,5690063.99,134.36700000000002,Si3
6512323.55,5690063.99,133.76700000000002,Si3
6512323.55,5690063.99,131.667,Sa3
6512323.55,5690063.99,132.667,Sa2
6512323.55,5690063.99,128.467,Sa3
6512323.55,5690063.99,125.46700000000001,Sa6
6512323.55,5690063.99,124.16700000000002,Sa6
6512323.55,5690063.99,122.66700000000002,Cl4
